[2023-12-14 19:41:00] Position: X=0, Y=0
[2023-12-14 19:41:02] Position: X=1, Y=0
[2023-12-14 19:41:04] Position: X=2, Y=0
[2023-12-14 19:41:06] Position: X=3, Y=0
[2023-12-14 19:41:08] Position: X=4, Y=0
[2023-12-14 19:41:10] Position: X=5, Y=0
[2023-12-14 19:41:12] Position: X=6, Y=0
[2023-12-14 19:41:14] Position: X=7, Y=0
[2023-12-14 19:41:16] Position: X=8, Y=0
[2023-12-14 19:41:18] Position: X=9, Y=0
[2023-12-14 19:41:20] Position: X=10, Y=0
[2023-12-14 19:41:22] Position: X=11, Y=0
[2023-12-14 19:41:24] Position: X=11, Y=1
[2023-12-14 19:41:27] Position: X=0, Y=0
[2023-12-14 19:41:29] Position: X=1, Y=0
[2023-12-14 19:41:31] Position: X=2, Y=0
[2023-12-14 19:41:33] Position: X=3, Y=0
[2023-12-14 19:41:35] Position: X=4, Y=0
[2023-12-14 19:41:37] Position: X=5, Y=0
[2023-12-14 19:41:39] Position: X=6, Y=0
[2023-12-14 19:41:41] Position: X=7, Y=0
[2023-12-14 19:41:43] Position: X=8, Y=0
